Theta,Alpha,Low_beta,High_beta,Gamma
,,,,
140.3268643,47.15124109,31.70803295,28.27479946,24.33451776
143.6384593,51.20182603,28.53864963,27.24097653,30.01737079
139.8404607,46.75057286,30.77506427,42.09391009,33.98830667
161.6774461,51.89690911,51.69302916,49.01942788,51.29454628
139.8401775,44.18410233,31.18918288,27.76537334,23.32093908
140.3268643,47.15124109,31.70803295,28.27479946,24.33451776
143.6384593,51.20182603,28.53864963,27.24097653,30.01737079
139.8404607,46.75057286,30.77506427,42.09391009,33.98830667
161.6774461,51.89690911,51.69302916,49.01942788,51.29454628
139.8401775,44.18410233,31.18918288,27.76537334,23.32093908
140.3268643,47.15124109,31.70803295,28.27479946,24.33451776
143.6384593,51.20182603,28.53864963,27.24097653,30.01737079
139.8404607,46.75057286,30.77506427,42.09391009,33.98830667
161.6774461,51.89690911,51.69302916,49.01942788,51.29454628
139.8401775,44.18410233,31.18918288,27.76537334,23.32093908
140.3268643,47.15124109,31.70803295,28.27479946,24.33451776
143.6384593,51.20182603,28.53864963,27.24097653,30.01737079
139.8404607,46.75057286,30.77506427,42.09391009,33.98830667
161.6774461,51.89690911,51.69302916,49.01942788,51.29454628
139.8401775,44.18410233,31.18918288,27.76537334,23.32093908
28.67025023,9.459955786,10.03367742,19.78196559,12.39064454
22.01028716,7.751058877,3.964167547,17.38151231,16.01812712
29.01257546,7.864435751,8.255536119,18.48325214,13.56119258
44.23480771,7.76595357,17.79766804,40.83181595,35.39880227
37.95457899,7.610786936,10.12309685,19.92727487,12.09592907
28.67025023,9.459955786,10.03367742,19.78196559,12.39064454
22.01028716,7.751058877,3.964167547,17.38151231,16.01812712
29.01257546,7.864435751,8.255536119,18.48325214,13.56119258
44.23480771,7.76595357,17.79766804,40.83181595,35.39880227
37.95457899,7.610786936,10.12309685,19.92727487,12.09592907
28.67025023,9.459955786,10.03367742,19.78196559,12.39064454
22.01028716,7.751058877,3.964167547,17.38151231,16.01812712
29.01257546,7.864435751,8.255536119,18.48325214,13.56119258
44.23480771,7.76595357,17.79766804,40.83181595,35.39880227
37.95457899,7.610786936,10.12309685,19.92727487,12.09592907
28.67025023,9.459955786,10.03367742,19.78196559,12.39064454
22.01028716,7.751058877,3.964167547,17.38151231,16.01812712
29.01257546,7.864435751,8.255536119,18.48325214,13.56119258
44.23480771,7.76595357,17.79766804,40.83181595,35.39880227
37.95457899,7.610786936,10.12309685,19.92727487,12.09592907
28.67025023,9.459955786,10.03367742,19.78196559,12.39064454
22.01028716,7.751058877,3.964167547,17.38151231,16.01812712
29.01257546,7.864435751,8.255536119,18.48325214,13.56119258
44.23480771,7.76595357,17.79766804,40.83181595,35.39880227
37.95457899,7.610786936,10.12309685,19.92727487,12.09592907
20.30733205,4.763344652,3.828149167,17.81329273,15.43157918
26.7405499,1.770610905,1.34497468,16.42091133,13.6764362
24.38582577,5.304903281,4.672424746,16.83901637,15.57716581
42.35216182,2.645121614,7.159089894,52.03661358,42.1788304
55.89757181,3.380770469,3.735612778,18.2078958,15.35990766
20.30733205,4.763344652,3.828149167,17.81329273,15.43157918
26.7405499,1.770610905,1.34497468,16.42091133,13.6764362
24.38582577,5.304903281,4.672424746,16.83901637,15.57716581
42.35216182,2.645121614,7.159089894,52.03661358,42.1788304
55.89757181,3.380770469,3.735612778,18.2078958,15.35990766
20.30733205,4.763344652,3.828149167,17.81329273,15.43157918
26.7405499,1.770610905,1.34497468,16.42091133,13.6764362
24.38582577,5.304903281,4.672424746,16.83901637,15.57716581
42.35216182,2.645121614,7.159089894,52.03661358,42.1788304
55.89757181,3.380770469,3.735612778,18.2078958,15.35990766
20.30733205,4.763344652,3.828149167,17.81329273,15.43157918
26.7405499,1.770610905,1.34497468,16.42091133,13.6764362
24.38582577,5.304903281,4.672424746,16.83901637,15.57716581
42.35216182,2.645121614,7.159089894,52.03661358,42.1788304
55.89757181,3.380770469,3.735612778,18.2078958,15.35990766
20.30733205,4.763344652,3.828149167,17.81329273,15.43157918
