Theta,Alpha,Low_beta,High_beta,Gamma
,,,,
96.8516677,45.12782737,24.14410106,10.62486169,5.444157718
131.4125096,55.72997911,29.47610111,15.46686254,8.87741693
112.3453823,51.105077,21.17084106,9.003990132,5.528993311
120.7893624,57.2562278,40.62219699,27.79523744,26.27738442
101.1758266,45.95656792,24.68189682,11.58231862,5.606048451
96.8516677,45.12782737,24.14410106,10.62486169,5.444157718
131.4125096,55.72997911,29.47610111,15.46686254,8.87741693
112.3453823,51.105077,21.17084106,9.003990132,5.528993311
120.7893624,57.2562278,40.62219699,27.79523744,26.27738442
101.1758266,45.95656792,24.68189682,11.58231862,5.606048451
96.8516677,45.12782737,24.14410106,10.62486169,5.444157718
131.4125096,55.72997911,29.47610111,15.46686254,8.87741693
112.3453823,51.105077,21.17084106,9.003990132,5.528993311
120.7893624,57.2562278,40.62219699,27.79523744,26.27738442
101.1758266,45.95656792,24.68189682,11.58231862,5.606048451
96.8516677,45.12782737,24.14410106,10.62486169,5.444157718
131.4125096,55.72997911,29.47610111,15.46686254,8.87741693
112.3453823,51.105077,21.17084106,9.003990132,5.528993311
120.7893624,57.2562278,40.62219699,27.79523744,26.27738442
101.1758266,45.95656792,24.68189682,11.58231862,5.606048451
8.621039315,9.45963126,7.80554322,4.884306828,2.902660051
15.49694961,9.336930027,3.83527488,3.176287203,1.594892632
11.56760532,9.58413805,7.472754195,2.684069519,2.673596517
14.01737304,14.22220394,10.70043358,13.27738832,11.8042554
8.673248972,9.639021831,7.944562433,4.917551633,2.800275523
8.621039315,9.45963126,7.80554322,4.884306828,2.902660051
15.49694961,9.336930027,3.83527488,3.176287203,1.594892632
11.56760532,9.58413805,7.472754195,2.684069519,2.673596517
14.01737304,14.22220394,10.70043358,13.27738832,11.8042554
8.673248972,9.639021831,7.944562433,4.917551633,2.800275523
8.621039315,9.45963126,7.80554322,4.884306828,2.902660051
15.49694961,9.336930027,3.83527488,3.176287203,1.594892632
11.56760532,9.58413805,7.472754195,2.684069519,2.673596517
14.01737304,14.22220394,10.70043358,13.27738832,11.8042554
8.673248972,9.639021831,7.944562433,4.917551633,2.800275523
8.621039315,9.45963126,7.80554322,4.884306828,2.902660051
15.49694961,9.336930027,3.83527488,3.176287203,1.594892632
11.56760532,9.58413805,7.472754195,2.684069519,2.673596517
14.01737304,14.22220394,10.70043358,13.27738832,11.8042554
8.673248972,9.639021831,7.944562433,4.917551633,2.800275523
8.621039315,9.45963126,7.80554322,4.884306828,2.902660051
15.49694961,9.336930027,3.83527488,3.176287203,1.594892632
11.56760532,9.58413805,7.472754195,2.684069519,2.673596517
14.01737304,14.22220394,10.70043358,13.27738832,11.8042554
8.673248972,9.639021831,7.944562433,4.917551633,2.800275523
10.95130141,3.778783994,7.659264012,4.776153624,2.864644528
7.155300535,4.475815327,3.072997458,2.821727435,1.478471981
7.744728798,2.82923152,6.462857754,3.452465273,1.881570832
8.753825662,6.257142744,9.33354839,9.974152294,12.27485201
9.934802541,3.87294867,7.971326107,4.694512754,2.811543527
10.95130141,3.778783994,7.659264012,4.776153624,2.864644528
7.155300535,4.475815327,3.072997458,2.821727435,1.478471981
7.744728798,2.82923152,6.462857754,3.452465273,1.881570832
8.753825662,6.257142744,9.33354839,9.974152294,12.27485201
9.934802541,3.87294867,7.971326107,4.694512754,2.811543527
10.95130141,3.778783994,7.659264012,4.776153624,2.864644528
7.155300535,4.475815327,3.072997458,2.821727435,1.478471981
7.744728798,2.82923152,6.462857754,3.452465273,1.881570832
8.753825662,6.257142744,9.33354839,9.974152294,12.27485201
9.934802541,3.87294867,7.971326107,4.694512754,2.811543527
10.95130141,3.778783994,7.659264012,4.776153624,2.864644528
7.155300535,4.475815327,3.072997458,2.821727435,1.478471981
7.744728798,2.82923152,6.462857754,3.452465273,1.881570832
8.753825662,6.257142744,9.33354839,9.974152294,12.27485201
9.934802541,3.87294867,7.971326107,4.694512754,2.811543527
15.17173329,3.929481774,6.703275411,4.064895183,2.877201431
5.738748652,2.312248049,2.910646441,1.059223937,0.7682616258
10.54551674,1.346656261,6.074687908,3.671268152,1.834155941
13.94131171,3.627500461,9.932121765,6.671916762,10.17709576
14.31121805,4.329796452,7.85176948,4.008533512,2.793219026
15.17173329,3.929481774,6.703275411,4.064895183,2.877201431
5.738748652,2.312248049,2.910646441,1.059223937,0.7682616258
10.54551674,1.346656261,6.074687908,3.671268152,1.834155941
13.94131171,3.627500461,9.932121765,6.671916762,10.17709576
14.31121805,4.329796452,7.85176948,4.008533512,2.793219026
15.17173329,3.929481774,6.703275411,4.064895183,2.877201431
