Theta,Alpha,Low_beta,High_beta,Gamma
,,,,
0.2946918711,0.4809787461,0.1007291683,0.09544247869,0.0610553093
0.1182568252,0.3275387234,0.152155806,0.1478197312,0.05928815575
0.5268792696,0.4668051206,0.4338153563,0.09448667236,0.06974058753
0.4724918653,1.382316606,1.090560142,0.3269675992,0.2990528947
0.6428424664,1.013700632,0.4424523909,0.31988821,0.1121723991
0.2431499871,0.4589419411,0.2286021537,0.1427898599,0.04738001773
0.1935133336,0.1869555885,0.2536504127,0.1579464352,0.07644297565
0.2435682444,0.3858636115,0.4454107284,0.1914712063,0.07357977554
0.6517477975,1.945900318,0.9888519142,0.3985286227,0.188442764
0.4838500487,1.033289896,1.020838195,0.4353129796,0.09365725436
0.2431499871,0.4589419411,0.2286021537,0.1427898599,0.04738001773
0.1935133336,0.1869555885,0.2536504127,0.1579464352,0.07644297565
0.2435682444,0.3858636115,0.4454107284,0.1914712063,0.07357977554
0.6517477975,1.945900318,0.9888519142,0.3985286227,0.188442764
0.4838500487,1.033289896,1.020838195,0.4353129796,0.09365725436
0.2431499871,0.4589419411,0.2286021537,0.1427898599,0.04738001773
0.1935133336,0.1869555885,0.2536504127,0.1579464352,0.07644297565
0.2435682444,0.3858636115,0.4454107284,0.1914712063,0.07357977554
0.6517477975,1.945900318,0.9888519142,0.3985286227,0.188442764
0.4838500487,1.033289896,1.020838195,0.4353129796,0.09365725436
0.2431499871,0.4589419411,0.2286021537,0.1427898599,0.04738001773
0.1935133336,0.1869555885,0.2536504127,0.1579464352,0.07644297565
0.2435682444,0.3858636115,0.4454107284,0.1914712063,0.07357977554
0.6517477975,1.945900318,0.9888519142,0.3985286227,0.188442764
0.4838500487,1.033289896,1.020838195,0.4353129796,0.09365725436
0.2431499871,0.4589419411,0.2286021537,0.1427898599,0.04738001773
0.1935133336,0.1869555885,0.2536504127,0.1579464352,0.07644297565
0.2435682444,0.3858636115,0.4454107284,0.1914712063,0.07357977554
0.6517477975,1.945900318,0.9888519142,0.3985286227,0.188442764
0.4838500487,1.033289896,1.020838195,0.4353129796,0.09365725436
0.5505503219,0.2790766176,0.1797000889,0.1311086048,0.05586684583
0.2111338572,0.1322650452,0.2127294826,0.1673927394,0.1083788367
0.1731161161,0.3642641148,0.4096452866,0.2126913279,0.06988291425
1.657969035,3.356967541,0.8940698581,0.4204601196,0.1718268588
1.478000279,0.7246767712,1.152315717,0.4250971644,0.1296725158
0.5505503219,0.2790766176,0.1797000889,0.1311086048,0.05586684583
0.2111338572,0.1322650452,0.2127294826,0.1673927394,0.1083788367
0.1731161161,0.3642641148,0.4096452866,0.2126913279,0.06988291425
1.657969035,3.356967541,0.8940698581,0.4204601196,0.1718268588
1.478000279,0.7246767712,1.152315717,0.4250971644,0.1296725158
0.5505503219,0.2790766176,0.1797000889,0.1311086048,0.05586684583
0.2111338572,0.1322650452,0.2127294826,0.1673927394,0.1083788367
0.1731161161,0.3642641148,0.4096452866,0.2126913279,0.06988291425
1.657969035,3.356967541,0.8940698581,0.4204601196,0.1718268588
1.478000279,0.7246767712,1.152315717,0.4250971644,0.1296725158
0.5505503219,0.2790766176,0.1797000889,0.1311086048,0.05586684583
0.2111338572,0.1322650452,0.2127294826,0.1673927394,0.1083788367
0.1731161161,0.3642641148,0.4096452866,0.2126913279,0.06988291425
1.657969035,3.356967541,0.8940698581,0.4204601196,0.1718268588
1.478000279,0.7246767712,1.152315717,0.4250971644,0.1296725158
0.5505503219,0.2790766176,0.1797000889,0.1311086048,0.05586684583
0.2111338572,0.1322650452,0.2127294826,0.1673927394,0.1083788367
0.1731161161,0.3642641148,0.4096452866,0.2126913279,0.06988291425
1.657969035,3.356967541,0.8940698581,0.4204601196,0.1718268588
1.478000279,0.7246767712,1.152315717,0.4250971644,0.1296725158
1.690855352,0.4089271252,0.3095222666,0.2476362991,0.06851517116
0.7107141866,0.507604158,0.3739979666,0.1655994487,0.0980911123
0.4831849838,0.9426522436,0.4860712461,0.1745645048,0.05929964382
1.534952061,2.405503558,1.064135038,0.440499305,0.181684406
3.121179003,0.7460153009,1.165666969,0.6404626813,0.105672054
1.690855352,0.4089271252,0.3095222666,0.2476362991,0.06851517116
0.7107141866,0.507604158,0.3739979666,0.1655994487,0.0980911123
0.4831849838,0.9426522436,0.4860712461,0.1745645048,0.05929964382
1.534952061,2.405503558,1.064135038,0.440499305,0.181684406
3.121179003,0.7460153009,1.165666969,0.6404626813,0.105672054
1.690855352,0.4089271252,0.3095222666,0.2476362991,0.06851517116
0.7107141866,0.507604158,0.3739979666,0.1655994487,0.0980911123
0.4831849838,0.9426522436,0.4860712461,0.1745645048,0.05929964382
1.534952061,2.405503558,1.064135038,0.440499305,0.181684406
3.121179003,0.7460153009,1.165666969,0.6404626813,0.105672054
1.690855352,0.4089271252,0.3095222666,0.2476362991,0.06851517116
0.7107141866,0.507604158,0.3739979666,0.1655994487,0.0980911123
0.4831849838,0.9426522436,0.4860712461,0.1745645048,0.05929964382
1.534952061,2.405503558,1.064135038,0.440499305,0.181684406
3.121179003,0.7460153009,1.165666969,0.6404626813,0.105672054
1.690855352,0.4089271252,0.3095222666,0.2476362991,0.06851517116
0.7107141866,0.507604158,0.3739979666,0.1655994487,0.0980911123
0.4831849838,0.9426522436,0.4860712461,0.1745645048,0.05929964382
1.534952061,2.405503558,1.064135038,0.440499305,0.181684406
3.121179003,0.7460153009,1.165666969,0.6404626813,0.105672054
1.456095528,0.5975849789,0.4856161911,0.2332791209,0.07280728487
1.428375515,1.11946625,0.3843459871,0.1903258984,0.09691941243
0.8523071262,1.164864297,0.5038464522,0.1089332575,0.05963432365
2.660693432,1.885836768,1.476167802,0.5456668469,0.2862009452
4.013752751,1.047168554,1.592509785,0.4905703578,0.08901197499
1.456095528,0.5975849789,0.4856161911,0.2332791209,0.07280728487
1.428375515,1.11946625,0.3843459871,0.1903258984,0.09691941243
0.8523071262,1.164864297,0.5038464522,0.1089332575,0.05963432365
2.660693432,1.885836768,1.476167802,0.5456668469,0.2862009452
4.013752751,1.047168554,1.592509785,0.4905703578,0.08901197499
1.456095528,0.5975849789,0.4856161911,0.2332791209,0.07280728487
1.428375515,1.11946625,0.3843459871,0.1903258984,0.09691941243
0.8523071262,1.164864297,0.5038464522,0.1089332575,0.05963432365
2.660693432,1.885836768,1.476167802,0.5456668469,0.2862009452
4.013752751,1.047168554,1.592509785,0.4905703578,0.08901197499
1.456095528,0.5975849789,0.4856161911,0.2332791209,0.07280728487
1.428375515,1.11946625,0.3843459871,0.1903258984,0.09691941243
0.8523071262,1.164864297,0.5038464522,0.1089332575,0.05963432365
2.660693432,1.885836768,1.476167802,0.5456668469,0.2862009452
4.013752751,1.047168554,1.592509785,0.4905703578,0.08901197499
1.456095528,0.5975849789,0.4856161911,0.2332791209,0.07280728487
1.428375515,1.11946625,0.3843459871,0.1903258984,0.09691941243
0.8523071262,1.164864297,0.5038464522,0.1089332575,0.05963432365
2.660693432,1.885836768,1.476167802,0.5456668469,0.2862009452
4.013752751,1.047168554,1.592509785,0.4905703578,0.08901197499
0.6681184409,0.4846078159,0.2859811067,0.06465609297,0.07828903576
1.03581622,0.5642133007,0.2160313541,0.1182155228,0.1056616487
0.7476033062,0.6186032589,0.2373626126,0.09198580845,0.04111951806
4.179479457,1.418969538,1.333503295,0.325437249,0.3184590936
2.52961757,0.7451080539,0.551446127,0.1966320209,0.1002796703
0.6681184409,0.4846078159,0.2859811067,0.06465609297,0.07828903576
1.03581622,0.5642133007,0.2160313541,0.1182155228,0.1056616487
0.7476033062,0.6186032589,0.2373626126,0.09198580845,0.04111951806
