Theta,Alpha,Low_beta,High_beta,Gamma
,,,,
0.1838236283,0.2032606468,0.07888325178,0.08654632669,0.06644893767
0.2140654994,0.2654367043,0.3008399547,0.07531699021,0.0636037107
0.4138213106,0.3047853798,0.5377789725,0.07122768909,0.06252652271
1.716686459,2.216849914,1.586259465,0.2996895292,0.189747984
1.28083775,1.229062415,0.7681820229,0.1976427034,0.08868188497
0.1838236283,0.2032606468,0.07888325178,0.08654632669,0.06644893767
0.2140654994,0.2654367043,0.3008399547,0.07531699021,0.0636037107
0.4138213106,0.3047853798,0.5377789725,0.07122768909,0.06252652271
1.716686459,2.216849914,1.586259465,0.2996895292,0.189747984
1.28083775,1.229062415,0.7681820229,0.1976427034,0.08868188497
0.2854356123,0.1194524466,0.0790487778,0.06424573105,0.05977925112
0.1266121272,0.3598709312,0.4955537215,0.06789508433,0.08589190533
0.3093466911,0.1696045231,0.3479657835,0.06521710901,0.07985121042
1.008411279,1.667665807,1.589842028,0.3341027552,0.2066213915
1.986919832,0.8033458012,0.5128269395,0.228303787,0.1152358453
0.2854356123,0.1194524466,0.0790487778,0.06424573105,0.05977925112
0.1266121272,0.3598709312,0.4955537215,0.06789508433,0.08589190533
0.3093466911,0.1696045231,0.3479657835,0.06521710901,0.07985121042
1.008411279,1.667665807,1.589842028,0.3341027552,0.2066213915
1.986919832,0.8033458012,0.5128269395,0.228303787,0.1152358453
0.2854356123,0.1194524466,0.0790487778,0.06424573105,0.05977925112
0.1266121272,0.3598709312,0.4955537215,0.06789508433,0.08589190533
0.3093466911,0.1696045231,0.3479657835,0.06521710901,0.07985121042
1.008411279,1.667665807,1.589842028,0.3341027552,0.2066213915
1.986919832,0.8033458012,0.5128269395,0.228303787,0.1152358453
0.2854356123,0.1194524466,0.0790487778,0.06424573105,0.05977925112
0.1266121272,0.3598709312,0.4955537215,0.06789508433,0.08589190533
0.3093466911,0.1696045231,0.3479657835,0.06521710901,0.07985121042
1.008411279,1.667665807,1.589842028,0.3341027552,0.2066213915
1.986919832,0.8033458012,0.5128269395,0.228303787,0.1152358453
0.2854356123,0.1194524466,0.0790487778,0.06424573105,0.05977925112
0.1266121272,0.3598709312,0.4955537215,0.06789508433,0.08589190533
0.3093466911,0.1696045231,0.3479657835,0.06521710901,0.07985121042
1.008411279,1.667665807,1.589842028,0.3341027552,0.2066213915
1.986919832,0.8033458012,0.5128269395,0.228303787,0.1152358453
1.124047971,0.2245584779,0.1532614861,0.06974401895,0.04389847912
0.1829245658,0.3082446338,0.3642042626,0.05965755162,0.07359749538
0.6904543802,0.2401936412,0.4043008002,0.05975306839,0.07150304951
0.780369722,1.198210711,1.118674986,0.298113299,0.184359465
2.067669044,0.5017026613,0.5662196606,0.2730289318,0.1007337776
1.124047971,0.2245584779,0.1532614861,0.06974401895,0.04389847912
0.1829245658,0.3082446338,0.3642042626,0.05965755162,0.07359749538
0.6904543802,0.2401936412,0.4043008002,0.05975306839,0.07150304951
0.780369722,1.198210711,1.118674986,0.298113299,0.184359465
2.067669044,0.5017026613,0.5662196606,0.2730289318,0.1007337776
1.124047971,0.2245584779,0.1532614861,0.06974401895,0.04389847912
0.1829245658,0.3082446338,0.3642042626,0.05965755162,0.07359749538
0.6904543802,0.2401936412,0.4043008002,0.05975306839,0.07150304951
0.780369722,1.198210711,1.118674986,0.298113299,0.184359465
2.067669044,0.5017026613,0.5662196606,0.2730289318,0.1007337776
1.124047971,0.2245584779,0.1532614861,0.06974401895,0.04389847912
0.1829245658,0.3082446338,0.3642042626,0.05965755162,0.07359749538
0.6904543802,0.2401936412,0.4043008002,0.05975306839,0.07150304951
0.780369722,1.198210711,1.118674986,0.298113299,0.184359465
2.067669044,0.5017026613,0.5662196606,0.2730289318,0.1007337776
1.124047971,0.2245584779,0.1532614861,0.06974401895,0.04389847912
0.1829245658,0.3082446338,0.3642042626,0.05965755162,0.07359749538
0.6904543802,0.2401936412,0.4043008002,0.05975306839,0.07150304951
0.780369722,1.198210711,1.118674986,0.298113299,0.184359465
